run_id,start_time,end_time,source_system,records_ingested,records_loaded,records_quarantined_dlq,status,watermark_timestamp,error_message
dec35c80-1a0e-487a-a9f4-563bee3923e7,2026-08-19T13:16:42.454012+00:00,2026-08-19T13:16:44.294303+00:00,Polluxa_API_v1,4590,4590,0,SUCCESS,2026-08-21T01:29:54.435411+00:00,
demo-bad-data-test,2026-08-19T13:46:21.628088+00:00,2026-08-19T13:46:21.825549+00:00,Polluxa_API_v1,5,2,3,WARNING_DQ_THRESHOLD,2026-08-19T13:00:00Z,
demo-recovery-run-1,2026-08-19T13:46:21.876374+00:00,2026-08-19T13:46:22.147478+00:00,Polluxa_API_v1,1164,1164,0,SUCCESS,2026-08-20T18:15:27.659126+00:00,
demo-recovery-run-2,2026-08-19T13:46:22.158910+00:00,2026-08-19T13:46:22.456669+00:00,Polluxa_API_v1,1164,1164,0,SUCCESS,2026-08-20T18:15:27.659126+00:00,
1447f1fc-2bce-40ac-aedc-8e0a45f6876c,2026-08-19T13:46:40.696708+00:00,2026-08-19T13:46:41.338380+00:00,Polluxa_API_v1,4741,4741,0,SUCCESS,2026-08-21T04:10:22.895177+00:00,
b887ed43-6591-4fed-936d-ff0eaf05a35b,2026-08-19T14:06:59.549081+00:00,2026-08-19T14:07:00.429818+00:00,Polluxa_API_v1,4699,4699,0,SUCCESS,2026-08-21T05:45:03.346702+00:00,
